tensor,attention,story_id,token_id
8769,0.005545634310692549,4,48
2020,0.00575517863035202,4,49
2318,0.005877714604139328,4,50
1999,0.006091658491641283,4,51
1037,0.006095076445490122,4,52
2309,0.0060470071621239185,4,53
2305,0.006071816198527813,4,54
1012,0.006517673376947641,4,55
14599,0.006230975966900587,4,56
1010,0.00606188178062439,4,57
6343,0.005952473729848862,4,58
2001,0.005940076895058155,4,59
3480,0.006137166637927294,4,60
1010,0.006333812139928341,4,61
2021,0.006343279033899307,4,62
1996,0.005846727639436722,4,63
3430,0.0059564379043877125,4,64
12394,0.006086258217692375,4,65
2024,0.006360976491123438,4,66
4358,0.006245032884180546,4,67
2012,0.006040114443749189,4,68
2105,0.005926776211708784,4,69
1002,0.0057077654637396336,4,70
10332,0.00584369245916605,4,71
1010,0.005933694541454315,4,72
2199,0.005959116853773594,4,73
1012,0.006095934193581343,4,74
1996,0.006279643625020981,4,75
2610,0.0066406033001840115,4,76
2071,0.006643165368586779,4,77
2025,0.006956809666007757,4,78
2191,0.007064017467200756,4,79
3278,0.007050600368529558,4,80
9849,0.006732322741299868,4,81
1999,0.00648031011223793,4,82
4531,0.006366768851876259,4,83
1996,0.006222980096936226,4,84
2566,0.006337353959679604,4,85
22327,0.006321835331618786,4,86
16259,0.006521020550280809,4,87
2127,0.006867006421089172,4,88
2027,0.006176244933158159,4,89
7271,0.0063337902538478374,4,90
3253,0.006411431357264519,4,91
1037,0.006334594916552305,4,92
10377,0.006305249407887459,4,93
1997,0.00596889853477478,4,94
1002,0.005869228392839432,4,95
25961,0.005887995008379221,4,96
2005,0.006104615516960621,4,97
2169,0.00591489439830184,4,98
14044,0.006041254382580519,4,99
5955,0.006033875048160553,4,100
1012,0.006633098237216473,4,101
1037,0.006634828168898821,4,102
19814,0.00676948856562376,4,103
1011,0.00667624082416296,4,104
2039,0.00648354971781373,4,105
2304,0.006516566965728998,4,106
3797,0.006535685621201992,4,107
2179,0.006449734326452017,4,108
2012,0.006588021758943796,4,109
2028,0.006716073490679264,4,110
1997,0.00664438446983695,4,111
1996,0.006857404485344887,4,112
4126,0.006631549447774887,4,113
5019,0.007249083835631609,4,114
1998,0.007109852507710457,4,115
7682,0.0071948617696762085,4,116
1037,0.0067407237365841866,4,117
4310,0.0066893454641103745,4,118
2640,0.006677455268800259,4,119
2089,0.006874001584947109,4,120
2031,0.006679616868495941,4,121
2042,0.006573690567165613,4,122
1996,0.0065080164931714535,4,123
4187,0.006571362726390362,4,124
9789,0.006336611229926348,4,125
1012,0.006034171674400568,4,126
2055,0.006505271419882774,4,127
1037,0.0065225595608353615,4,128
2733,0.006316466722637415,4,129
3283,0.006371235009282827,4,130
1010,0.00600549066439271,4,131
1996,0.0060512600466609,4,132
2610,0.006293964106589556,4,133
4727,0.006194301415234804,4,134
1037,0.0063566891476511955,4,135
4261,0.006724577397108078,4,136
2095,0.00672402698546648,4,137
2214,0.0067493547685444355,4,138
8343,0.006533227860927582,4,139
2006,0.006387348286807537,4,140
5571,0.006074484437704086,4,141
1997,0.00577407144010067,4,142
2117,0.00606941245496273,4,143
1011,0.006019349675625563,4,144
3014,0.00587276928126812,4,145
24912,0.0059515004977583885,4,146
1012,0.006441946141421795,4,147
2065,0.006638970226049423,4,148
2179,0.0068719047121703625,4,149
5905,0.006785203702747822,4,150
1010,0.0065755173563957214,4,151
2002,0.006470769178122282,4,152
2097,0.00640786811709404,4,153
2227,0.006250040605664253,4,154
2039,0.006316093727946281,4,155
2000,0.006493547931313515,4,156
2184,0.006549283862113953,4,157
2086,0.006737305782735348,4,158
1999,0.006802082993090153,4,159
3827,0.006553362123668194,4,160
1012,0.006676207762211561,4,161
2144,0.00693616783246398,5,0
3054,0.006664989981800318,5,1
1011,0.006653130985796452,5,2
2258,0.006207448896020651,5,3
2760,0.006626743357628584,5,4
1010,0.006641936954110861,5,5
1037,0.006847106385976076,5,6
2555,0.006853616330772638,5,7
1999,0.0067696296609938145,5,8
11606,0.006603282876312733,5,9
1010,0.00666033336892724,5,10
2762,0.006461127195507288,5,11
1010,0.006580995861440897,5,12
2038,0.006448178086429834,5,13
4320,0.006342018488794565,5,14
1037,0.005995634477585554,5,15
2186,0.005971281789243221,5,16
1997,0.006007869262248278,5,17
8769,0.005989213474094868,5,18
2275,0.006111255381256342,5,19
2011,0.00608625216409564,5,20
3158,0.0060697984881699085,5,21
9305,0.005920741241425276,5,22
2015,0.00579501036554575,5,23
2008,0.006025860086083412,5,24
22395,0.005869915243238211,5,25
11669,0.005753186997026205,5,26
18484,0.005790199618786573,5,27
1010,0.006086715497076511,5,28
1037,0.006395902018994093,5,29
2482,0.0063498495146632195,5,30
1010,0.006408453918993473,5,31
1998,0.006227666977792978,5,32
2130,0.006186181679368019,5,33
2019,0.006353352218866348,5,34
2972,0.006427548825740814,5,35
2237,0.006626896560192108,5,36
2160,0.00657073687762022,5,37
1012,0.006684941239655018,5,38
2012,0.006729941349476576,5,39
2049,0.006480897776782513,5,40
4672,0.006419254466891289,5,41
1010,0.00613352982327342,5,42
1022,0.006112729664891958,5,43
2367,0.0060010976158082485,5,44
8769,0.0061119417659938335,5,45
2020,0.006221467163413763,5,46
2318,0.006437064614146948,5,47
1999,0.006632993929088116,5,48
1037,0.006621246691793203,5,49
2309,0.006544126663357019,5,50
2305,0.0065390197560191154,5,51
1012,0.0070816935040056705,5,52
14599,0.006832088343799114,5,53
1010,0.006543770432472229,5,54
6343,0.0064553809352219105,5,55
2001,0.006496896501630545,5,56
3480,0.006813999731093645,5,57
1010,0.007135964464396238,5,58
2021,0.0070883845910429955,5,59
1996,0.006560880225151777,5,60
3430,0.006460349541157484,5,61
12394,0.006471375469118357,5,62
2024,0.006227660458534956,5,63
1002,0.006271283142268658,5,64
10332,0.00642942450940609,5,65
1010,0.006550660356879234,5,66
2199,0.006623105611652136,5,67
1012,0.0069869873113930225,5,68
1996,0.006983901374042034,5,69
2610,0.0074300095438957214,5,70
2106,0.007262166123837233,5,71
2025,0.007566455751657486,5,72
2191,0.00752150546759367,5,73
3278,0.0076436796225607395,5,74
9849,0.007325429003685713,5,75
1999,0.007294011767953634,5,76
4531,0.007357791066169739,5,77
1996,0.007244061678647995,5,78
2566,0.007323076948523521,5,79
22327,0.007198578678071499,5,80
16259,0.007417601998895407,5,81
2127,0.007589938119053841,5,82
2027,0.006948197726160288,5,83
7271,0.007022692821919918,5,84
3253,0.007180912885814905,5,85
1037,0.006967684719711542,5,86
10377,0.007175723556429148,5,87
1997,0.006723398808389902,5,88
1002,0.006604491733014584,5,89
25961,0.00665581040084362,5,90
2005,0.006913391873240471,5,91
2169,0.006712832022458315,5,92
14044,0.006894157733768225,5,93
5955,0.006682178005576134,5,94
1012,0.007544599007815123,5,95
1037,0.007551465183496475,5,96
19814,0.007666362449526787,5,97
1011,0.0076207490637898445,5,98
2039,0.007442955859005451,5,99
2304,0.007582884281873703,5,100
