story_tokenized,tensor,story_id,story,token_id,story_cond,hedges
single,2309,2,'arson_free',53,'arson_free',T
night,2305,2,'arson_free',54,'arson_free',T
.,1012,2,'arson_free',55,'arson_free',T
fortunately,14599,2,'arson_free',56,'arson_free',T
",",1010,2,'arson_free',57,'arson_free',T
nobody,6343,2,'arson_free',58,'arson_free',T
was,2001,2,'arson_free',59,'arson_free',T
hurt,3480,2,'arson_free',60,'arson_free',T
",",1010,2,'arson_free',61,'arson_free',T
but,2021,2,'arson_free',62,'arson_free',T
the,1996,2,'arson_free',63,'arson_free',T
material,3430,2,'arson_free',64,'arson_free',T
damages,12394,2,'arson_free',65,'arson_free',T
are,2024,2,'arson_free',66,'arson_free',T
estimated,4358,2,'arson_free',67,'arson_free',T
at,2012,2,'arson_free',68,'arson_free',T
around,2105,2,'arson_free',69,'arson_free',T
$,1002,2,'arson_free',70,'arson_free',T
450,10332,2,'arson_free',71,'arson_free',T
",",1010,2,'arson_free',72,'arson_free',T
000,2199,2,'arson_free',73,'arson_free',T
.,1012,2,'arson_free',74,'arson_free',T
the,1996,2,'arson_free',75,'arson_free',T
police,2610,2,'arson_free',76,'arson_free',T
could,2071,2,'arson_free',77,'arson_free',T
not,2025,2,'arson_free',78,'arson_free',T
make,2191,2,'arson_free',79,'arson_free',T
significant,3278,2,'arson_free',80,'arson_free',T
advances,9849,2,'arson_free',81,'arson_free',T
in,1999,2,'arson_free',82,'arson_free',T
finding,4531,2,'arson_free',83,'arson_free',T
the,1996,2,'arson_free',84,'arson_free',T
per,2566,2,'arson_free',85,'arson_free',T
##pet,22327,2,'arson_free',86,'arson_free',T
##rator,16259,2,'arson_free',87,'arson_free',T
until,2127,2,'arson_free',88,'arson_free',T
they,2027,2,'arson_free',89,'arson_free',T
publicly,7271,2,'arson_free',90,'arson_free',T
offered,3253,2,'arson_free',91,'arson_free',T
a,1037,2,'arson_free',92,'arson_free',T
reward,10377,2,'arson_free',93,'arson_free',T
of,1997,2,'arson_free',94,'arson_free',T
$,1002,2,'arson_free',95,'arson_free',T
6000,25961,2,'arson_free',96,'arson_free',T
for,2005,2,'arson_free',97,'arson_free',T
each,2169,2,'arson_free',98,'arson_free',T
helpful,14044,2,'arson_free',99,'arson_free',T
tip,5955,2,'arson_free',100,'arson_free',T
.,1012,2,'arson_free',101,'arson_free',T
a,1037,2,'arson_free',102,'arson_free',T
crumpled,19814,2,'arson_free',103,'arson_free',T
-,1011,2,'arson_free',104,'arson_free',T
up,2039,2,'arson_free',105,'arson_free',T
black,2304,2,'arson_free',106,'arson_free',T
shirt,3797,2,'arson_free',107,'arson_free',T
found,2179,2,'arson_free',108,'arson_free',T
at,2012,2,'arson_free',109,'arson_free',T
one,2028,2,'arson_free',110,'arson_free',T
of,1997,2,'arson_free',111,'arson_free',T
the,1996,2,'arson_free',112,'arson_free',T
crime,4126,2,'arson_free',113,'arson_free',T
scenes,5019,2,'arson_free',114,'arson_free',T
and,1998,2,'arson_free',115,'arson_free',T
bearing,7682,2,'arson_free',116,'arson_free',T
a,1037,2,'arson_free',117,'arson_free',T
unique,4310,2,'arson_free',118,'arson_free',T
design,2640,2,'arson_free',119,'arson_free',T
may,2089,2,'arson_free',120,'arson_free',T
have,2031,2,'arson_free',121,'arson_free',T
been,2042,2,'arson_free',122,'arson_free',T
the,1996,2,'arson_free',123,'arson_free',T
critical,4187,2,'arson_free',124,'arson_free',T
clue,9789,2,'arson_free',125,'arson_free',T
.,1012,2,'arson_free',126,'arson_free',T
about,2055,2,'arson_free',127,'arson_free',T
a,1037,2,'arson_free',128,'arson_free',T
week,2733,2,'arson_free',129,'arson_free',T
ago,3283,2,'arson_free',130,'arson_free',T
",",1010,2,'arson_free',131,'arson_free',T
the,1996,2,'arson_free',132,'arson_free',T
police,2610,2,'arson_free',133,'arson_free',T
arrested,4727,2,'arson_free',134,'arson_free',T
a,1037,2,'arson_free',135,'arson_free',T
37,4261,2,'arson_free',136,'arson_free',T
year,2095,2,'arson_free',137,'arson_free',T
old,2214,2,'arson_free',138,'arson_free',T
suspect,8343,2,'arson_free',139,'arson_free',T
on,2006,2,'arson_free',140,'arson_free',T
charges,5571,2,'arson_free',141,'arson_free',T
of,1997,2,'arson_free',142,'arson_free',T
second,2117,2,'arson_free',143,'arson_free',T
-,1011,2,'arson_free',144,'arson_free',T
degree,3014,2,'arson_free',145,'arson_free',T
arson,24912,2,'arson_free',146,'arson_free',T
.,1012,2,'arson_free',147,'arson_free',T
if,2065,2,'arson_free',148,'arson_free',T
